Feature_Length,Accuracy,Precision,Recall,AUPRC,AUROC,F1_Score
1,0.5147435897435896,0.5471212121212121,0.5929761904761904,0.59182608149126,0.5516765873015872,0.5243470418470418
2,0.5083333333333333,0.47515873015873017,0.5075000000000001,0.6005906780058565,0.5591865079365078,0.4686935286935287
3,0.5480769230769231,0.5453968253968254,0.482063492063492,0.5877341912386554,0.5495337301587301,0.493943213649096
4,0.5173076923076924,0.49337301587301585,0.5016666666666667,0.5687002473386402,0.5161011904761905,0.4760797535797535
5,0.5641025641025641,0.5491666666666667,0.5867857142857142,0.6453828533129128,0.5963988095238094,0.5457142857142856
6,0.5326923076923077,0.5269444444444444,0.5534523809523809,0.5764190872509325,0.5511805555555556,0.5182592407592408
7,0.5557692307692308,0.5694444444444444,0.6224603174603175,0.6340174678716346,0.5867361111111111,0.5668581418581418
8,0.4551282051282051,0.46333333333333326,0.46916666666666657,0.5979450188810308,0.49114087301587306,0.4490001665001665
9,0.47628205128205126,0.4698015873015873,0.535952380952381,0.5621319936677078,0.503095238095238,0.48473075943664173
10,0.4685897435897436,0.4744047619047619,0.525952380952381,0.5451537453397572,0.4933134920634921,0.4798073495132319
11,0.49102564102564106,0.5035714285714286,0.49341269841269836,0.5371907304005519,0.4941468253968254,0.47768065268065263
12,0.5237179487179489,0.527063492063492,0.564563492063492,0.5529324689309808,0.5311507936507935,0.519833793657323
13,0.492948717948718,0.5090873015873016,0.5495238095238094,0.5688189800168966,0.5041468253968253,0.5050849314084608
14,0.4673076923076923,0.4814285714285713,0.49535714285714283,0.5269245703590941,0.513422619047619,0.46090909090909093
15,0.4852564102564102,0.5100396825396826,0.5286904761904762,0.5664994034294629,0.5349900793650793,0.4902852049910873
16,0.37628205128205133,0.4230555555555555,0.4109126984126984,0.5240679817867318,0.43004960317460317,0.3884981684981685
17,0.43589743589743585,0.4482142857142857,0.4277380952380952,0.4818801213116689,0.4455753968253968,0.4152014652014652
18,0.45384615384615384,0.4927777777777777,0.4515079365079365,0.5527957071588023,0.48177579365079365,0.42847707847707844
19,0.4544871794871795,0.49511904761904757,0.5335714285714286,0.5025086354892903,0.47382936507936513,0.4711312217194569
20,0.42948717948717946,0.46948412698412695,0.4870238095238094,0.525740742282409,0.47150793650793654,0.4463727938727938
21,0.516025641025641,0.5453571428571429,0.5292460317460318,0.5749137381027262,0.5578571428571429,0.49988927738927735
