Feature_Length,Accuracy,Precision,Recall,AUPRC,AUROC,F1_Score
1,0.5921772239529248,0.599312756714349,0.5723026820866841,0.6855032658104154,0.674185463577085,0.5817484624937844
2,0.6080564209068882,0.6158322315693393,0.6109841902401485,0.6915757160786156,0.6849897728781198,0.6077989118391868
3,0.6444011768778124,0.6506146581237859,0.6163860478709042,0.6865100926023745,0.6959598687147379,0.6318575646661797
4,0.6368812737971616,0.6464965162266278,0.6040222140495206,0.7011956771438845,0.7031229612524563,0.6227085477260588
5,0.6518431983385253,0.6582927516244135,0.6354109064639055,0.7048229589619017,0.7053369949000861,0.6448220511746199
6,0.6546209761163032,0.6713151013056129,0.6136618815835448,0.6994397066442775,0.7019896525884562,0.6382418985561478
7,0.6377639321564555,0.6523936836028147,0.6017085853976115,0.6996439780739072,0.6930989301363143,0.6215899657202392
8,0.6378504672897196,0.6474294708212105,0.6176283867474236,0.6878676965648216,0.6903059980165864,0.6283145161402175
9,0.6303738317757009,0.641444795649576,0.5998487706517899,0.6919663040014076,0.6850987231101545,0.6167072479976963
10,0.6229750778816199,0.6293364568982771,0.6130264539412873,0.6679381979550538,0.6758015154798394,0.6168159015908816
11,0.6192194530979578,0.6280884605687838,0.6049236059401711,0.6841587177958803,0.6817166750730773,0.6121376211585468
12,0.6210366908965039,0.6329407637083281,0.5894532922386999,0.6636214404732231,0.6652207544636319,0.6066988901811308
13,0.6322170301142263,0.6438883262038909,0.608305893542875,0.6762205729875859,0.6802122702354385,0.6219546609026564
14,0.619184839044652,0.6301383002915111,0.5906857092749137,0.6727847533565541,0.673214054627065,0.6050025295148342
15,0.6321910695742471,0.6460905456550619,0.6000554633471561,0.6708000852711633,0.6786153968941655,0.6189394220284508
16,0.6397628937348563,0.651403215153597,0.6139360274823511,0.6854006598773059,0.6884577709619488,0.6282511537294644
17,0.6248096227068188,0.6322085816526978,0.6290104898021825,0.6769825032177155,0.6722533337439309,0.6255101967405972
18,0.6266528210453444,0.6347940322332701,0.6047214900554381,0.6705615725719175,0.6712876902406033,0.6164102935281177
19,0.6201626860505364,0.6233566363814406,0.6250919762584637,0.6749333745338785,0.6775684937590025,0.6206215897834128
20,0.6043007961232261,0.6121912027517101,0.5937839445802886,0.6699697553957121,0.6650465672869607,0.598639354108641
21,0.615472481827622,0.6240213355402789,0.6021576777954629,0.6707800296885265,0.6786204696151835,0.6068242274696845
22,0.6136033229491173,0.6171229524190162,0.6095425346330638,0.6684400170548176,0.6684378357796894,0.6085652545704703
23,0.6201799930771893,0.6253253096331347,0.6167324404958945,0.6737088496877772,0.6715292069673332,0.6171987102408982
24,0.6125995154032536,0.6179111877161063,0.5899789730365492,0.6763387530741177,0.6672865704800721,0.6000573139254263
25,0.6052007615091727,0.6175744028337447,0.5810196087263676,0.6597197940460904,0.6591767770988964,0.5937881253791644
26,0.6210886119764625,0.6294447982360166,0.6019661419875533,0.6506662050985255,0.6611816513510896,0.6118567287400734
27,0.6218587746625129,0.6320045934546183,0.5989143614142497,0.6414654304059283,0.6541382664014991,0.6123393281583878
28,0.6098736587054344,0.6145609182898409,0.6081749163303534,0.6501781215356497,0.6573705688107689,0.607419112180866
29,0.6154205607476635,0.6230922459606523,0.6045104304213926,0.6446783495716822,0.6509959073709501,0.6098184086242058
30,0.6181983385254414,0.6226286145410378,0.6010851947984341,0.6628798614439809,0.6620916173950235,0.6094194662096077
31,0.5912253374870198,0.6025301363625184,0.5619532027252193,0.654297853406997,0.64648345248323,0.5776505532827204
32,0.605269989615784,0.6133122850854622,0.5950558967456627,0.6658407743820356,0.656623303497588,0.5994796506630476
33,0.6032969885773624,0.6078037028722887,0.6286936125566599,0.6436142791460187,0.6435825048973938,0.6097318921747265
34,0.5968414676358602,0.6017895533968544,0.5928875628987775,0.653986442703015,0.6449582542746408,0.5926041572828744
35,0.5922377985462098,0.598144427149334,0.5895173502557373,0.6384108218077211,0.6460764251817132,0.5886030377834396
36,0.5763586015922464,0.580107318099496,0.5665492008210224,0.6452819330455242,0.6205729255272193,0.5699187814756621
37,0.5958722741433022,0.603991593314704,0.5835749758613181,0.6469605751827865,0.639966315104651,0.5884939152142528
38,0.6126600899965385,0.6218040576457472,0.5962186983560125,0.6397265558717445,0.6442282394349601,0.6052282299279893
39,0.6023710626514365,0.6120309679160923,0.5840052342859907,0.6561629125140347,0.6608329964662898,0.5910638704447373
40,0.5903426791277259,0.6084005145709701,0.5593753229756182,0.6344973065886327,0.6336538395494822,0.57516665747032
41,0.6080044998269297,0.613288313788489,0.6038047911024598,0.6377961839349048,0.6358230803437633,0.6046629529961449
42,0.5763586015922464,0.5760433576305638,0.5916851257683945,0.6124553252038102,0.6130415892304023,0.5799805884168852
43,0.5642696434752509,0.5697122057299175,0.5577134452673049,0.6069499696974471,0.6116092141870217,0.5589738750068924
44,0.5837833160263066,0.5900667973682319,0.5861526791168733,0.5940155950431902,0.6065500963586373,0.5828080817439305
45,0.5763932156455522,0.5830106643226174,0.5560401713048869,0.6379070867372432,0.62337809843139,0.5655772173775706
46,0.5847352024922119,0.5908610321147639,0.5740983113725471,0.618889116669039,0.6140916351468192,0.5777306783110093
47,0.5716337833160263,0.5846280098163718,0.5360956678756618,0.6099648850088841,0.6098225613080228,0.5544692617341813
48,0.5818795430944963,0.5943387868896381,0.549736562456672,0.6244529264497582,0.6246140798129167,0.5652054061583875
49,0.6034354447905849,0.6057142110669116,0.6072560528920422,0.6095529565906362,0.6237345242900755,0.603135615218306
50,0.5902647975077882,0.591721811770359,0.5945819016512277,0.6069487310253823,0.6065911869867187,0.5909937999541329
51,0.5596400138456212,0.567818529871641,0.5395925023899533,0.6050341756946156,0.5980390378304552,0.5480019562698889
52,0.5903599861543787,0.592509064722978,0.5920509107136487,0.6204194183295625,0.6373810779201567,0.587587817993169
53,0.5529941156109379,0.5548292562827015,0.5680020764195998,0.5981410031320982,0.5970845270037184,0.5567012765267767
54,0.5865264797507788,0.5940131888053563,0.5628373642994535,0.5987858360450318,0.615422971616482,0.5751594932573779
55,0.587564901349948,0.595493544244359,0.5751524964486858,0.603412369682367,0.610353574727114,0.5806290860435658
