FID IID C1 C2 C3 C4 C5 C6 C7 C8 C9 C10
KronosII_P01_6.0_A01_ROS20275399.CEL ROS20275399 -0.00490652 0.00168483 -0.00325122 0.00878656 -0.0203014 -0.000434654 0.00368035 0.00598894 -0.0100977 0.00273607
KronosII_P01_6.0_A02_ROS10442701.CEL ROS10442701 0.00339712 0.0081718 -0.00473112 -0.00176897 -0.0238854 0.00285882 -0.00572226 -0.00376681 0.00411504 -0.00482415
KronosII_P01_6.0_A03_ROS20152393.CEL ROS20152393 -0.00437416 -0.000706497 -0.00697146 0.00880678 -0.0247868 0.00694793 0.00254477 -0.000601137 -0.00656835 0.0100626
KronosII_P01_6.0_A04_ROS20626558.CEL ROS20626558 0.0209546 -0.00868957 -0.00897359 0.0113815 -0.0176945 -0.00862881 -0.0035931 0.00143834 -0.00325648 -0.0028934
KronosII_P01_6.0_A05_ROS15176592.CEL ROS15176592 -0.00136642 0.00380887 -0.00528332 -0.00271831 -0.0241162 -0.00467607 0.00161126 0.00906511 0.00147449 -0.00301391
KronosII_P01_6.0_A06_ROS21174691.CEL ROS21174691 0.00478419 0.00263543 -0.00295262 -0.00323065 -0.00481546 0.00140586 0.0130868 -0.00526657 -0.000442102 -0.000903263
KronosII_P01_6.0_A07_ROS15146050.CEL ROS15146050 -0.0102267 -0.00153426 -0.00596046 0.00611459 -0.0261622 0.00122924 0.000575684 -0.0102239 0.00340619 -0.00244251
KronosII_P01_6.0_A08_ROS10606903.CEL ROS10606903 -0.0104938 -0.00466153 -0.00721268 0.00897 -0.0204156 -0.00362383 0.00159119 -0.00212724 -0.00264619 -0.00327408
KronosII_P01_6.0_A09_ROS20969088.CEL ROS20969088 0.00525477 0.00554943 -0.00146809 0.001167 -0.00421456 0.00128939 0.0107129 0.00831461 0.00633912 0.00685992
KronosII_P01_6.0_A10_ROS11319389.CEL ROS11319389 -0.0141708 -0.00743467 -0.007553 0.00911629 -0.0218766 0.0027034 -0.00439652 -0.00700485 0.00869669 0.00838168
KronosII_P01_6.0_A11_ROS21185180.CEL ROS21185180 0.00140324 0.00442544 -0.00428806 -0.00219749 -0.024438 0.000912499 -0.00330787 0.00165255 -0.00405847 -0.000175208
KronosII_P01_6.0_A12_ROS10433070.CEL ROS10433070 0.00240815 0.0309748 -0.0135328 0.0111172 -0.0242473 0.0030966 -0.00546766 -0.00317629 0.00117654 0.00886774
KronosII_P01_6.0_B01_ROS10439580.CEL ROS10439580 0.000145836 -0.000807161 0.00669359 -0.00168931 -0.0319098 -0.00491689 -0.00263087 -0.001204 0.0156879 -0.000158624
KronosII_P01_6.0_B02_ROS10490993.CEL ROS10490993 0.0130908 -0.00248347 -0.00733458 0.0119072 -0.0234783 -0.00500933 0.00190791 0.00221753 -0.00356307 0.00652276
KronosII_P01_6.0_B03_ROS20266118.CEL ROS20266118 -0.00718974 -5.92804e-05 -0.00918916 -0.00172325 -0.0266056 -0.00367257 0.00616405 -0.00712849 -0.00256556 -0.00976131
KronosII_P01_6.0_B04_ROS11444465.CEL ROS11444465 0.00424054 0.0327682 -0.0121288 0.00763719 -0.0228258 0.0139379 0.00499335 0.00409891 0.000849401 -0.00548904
KronosII_P01_6.0_B05_ROS21001933.CEL ROS21001933 0.0020545 0.00483335 -0.00595537 -0.000741428 -0.00754561 0.00333233 0.0059048 0.00371084 0.0135872 -0.00179407
KronosII_P01_6.0_B08_ROS20984415.CEL ROS20984415 -0.00152161 0.00562107 -0.00706762 0.00129241 -0.0240262 0.00497083 0.00833558 0.00615007 -0.0021812 0.00158396
KronosII_P01_6.0_B09_ROS20706215.CEL ROS20706215 0.00726787 0.00460627 -0.00594257 0.00463863 -0.0247449 -0.00570049 0.00666962 -0.00164933 -0.00490001 -0.00208313
KronosII_P01_6.0_B11_ROS21112011.CEL ROS21112011 -0.00390837 0.00437971 -0.00694608 0.00018404 -0.0262522 -0.00248207 -0.00408724 0.000644838 -0.00647126 0.0020203
KronosII_P01_6.0_B12_ROS20297791.CEL ROS20297791 -0.0112076 -0.00453262 -0.00630984 0.00344515 -0.0238034 -0.00530144 0.00324754 -0.00373424 0.00482994 -0.00339276
KronosII_P01_6.0_C01_ROS21411297.CEL ROS21411297 0.00162611 -0.0046184 -0.00753065 0.0108093 -0.0263868 0.00149792 -0.00370402 0.000467033 0.00205997 0.00431037
KronosII_P01_6.0_C02_ROS20550027.CEL ROS20550027 0.000333068 0.00445703 -0.00508333 -0.00200266 -0.0291026 -0.000482001 0.00306811 -0.00137747 -4.82636e-05 -0.00420685
KronosII_P01_6.0_C03_ROS11342432.CEL ROS11342432 -0.0107024 -0.0048466 -0.0044087 0.0140563 -0.0228119 0.00525624 -0.00706087 -0.00357541 -0.00320563 0.00195482
KronosII_P01_6.0_C04_ROS10481686.CEL ROS10481686 0.00186623 0.0046524 -0.00394393 0.000728539 -0.0269079 -0.00334651 0.00204263 0.00675397 -0.00484843 7.22563e-05
