Datatype,Model,Year,Size,Features,Average Accuracy,Average Precision,Average Recall,Average F-Score,Average ROC AUC,Average PR AUC
ROSMAP,XGBoost,2yrs,1310,55,0.534351145038168,0.537232381896509,0.538825204813108,0.525355912020802,0.544754388688327,0.53341659354597
ROSMAP,XGBoost,4yrs,1310,55,0.532824427480916,0.533627357704404,0.530967530453418,0.55771503640413,0.559698591424446,0.53150032610428
ROSMAP,XGBoost,6yrs,1262,55,0.561042369703787,0.565932895791566,0.54376286107223,0.613758890444176,0.604346747879385,0.560245963537666
ROSMAP,XGBoost,8yrs,1074,55,0.570638629283489,0.575465514464765,0.563110960735664,0.609441319102166,0.607585079231223,0.569420523921672
ROSMAP_APOE,NN,8yrs,1074,10,[0.6033316],0.533578869942806,0.382650045833936,0.579746216548788,0.576887293965217,0.388711841855643
ROSMAP_APOE,XGBoost,8yrs,1074,10,0.58097957770855,0.590719235435886,0.560436646861121,0.6238426807825,0.605430277142068,0.579595111712652
ROSMAP_APOE,SVM,8yrs,1074,10,0.560496711664936,0.608715752179167,0.362155171623726,0.618916530074838,0.610509576170128,0.538626130782156
ROSMAP_APOE,RF,8yrs,1074,10,0.5576670128072,0.563496758446152,0.526440305126126,0.581882388169549,0.573871322215974,0.55496856673611
ROSMAP,NN,8yrs,1074,10,[0.59221184],0.391819979043898,0.335119642352681,0.524186380154436,0.551492145964554,0.322788792791337
ROSMAP,XGBoost,8yrs,1074,10,0.65450848044306,0.672675825199298,0.618006369055147,0.709291629237044,0.706261503193609,0.653091729372308
ROSMAP,SVM,8yrs,1074,10,0.653556593977155,0.65541334493391,0.656880884717401,0.744215015313288,0.727005153745431,0.651849699425107
ROSMAP,RF,8yrs,1074,10,0.658203530633437,0.675159949477246,0.621214067942722,0.723571138501909,0.715775338306752,0.656716467868653
ROSMAP,NN,8yrs,1074,9,[0.61078228],0.419677704798395,0.279363491214387,0.558490448284413,0.55238008032108,0.307621846259317
ROSMAP,XGBoost,8yrs,1074,9,0.652647975077882,0.674792472726943,0.603745492728818,0.708386313007008,0.707482022412401,0.650938075824983
ROSMAP,SVM,8yrs,1074,9,0.652622014537902,0.656663599661676,0.655766186484059,0.745381541750667,0.729031452065641,0.651286820334449
ROSMAP,RF,8yrs,1074,9,0.6610418830045,0.678555417918411,0.623506434841512,0.710995947277543,0.709696789248269,0.659545559583986
ROSMAP,NN,8yrs,1074,17,[0.59307719],0.4963980945133494,0.2683372757708526,0.5712048673692705,0.572982167053448,0.3453440781687839
ROSMAP,XGBoost,8yrs,1074,17,0.6236846659743855,0.6354498212656872,0.6022174070604109,0.6912822024274184,0.6731813575507267,0.6222923625640928
ROSMAP,SVM,8yrs,1074,17,0.639607130494981,0.6472544517572539,0.6338321885662336,0.737615751284872,0.7165989810819778,0.6382040374728509
ROSMAP,RF,8yrs,1074,17,0.6358515057113188,0.657435201584388,0.5900539289534101,0.6994747155355048,0.698621727837862,0.6337042119680939
ROSMAP from_cn,NN,8yrs,730,7,[0.54794521],0.2462204632415223,0.34384711779448623,0.48619343589954883,0.46137594189626546,0.2575327040530023
ROSMAP from_cn,XGBoost,8yrs,730,7,[0.54794521],0.2462204632415223,0.34384711779448623,0.48619343589954883,0.46137594189626546,0.2575327040530023
ROSMAP from_mci,NN,8yrs,696,25,[0.63937888],0.47124761108456764,0.29347805788982256,0.5511284000555087,0.5389759269736601,0.3365875091909677
ROSMAP from_mci,XGBoost,8yrs,696,25,[0.63937888],0.47124761108456764,0.29347805788982256,0.5511284000555087,0.5389759269736601,0.3365875091909677
ROSMAP from_non_ad,NN,8yrs,1074,16,[0.58849948],0.4781296626342694,0.38738207819104614,0.5295677916837722,0.5319355309503868,0.38130346668152665
ROSMAP from_non_ad,XGBoost,8yrs,1074,16,[0.58849948],0.4781296626342694,0.38738207819104614,0.5295677916837722,0.5319355309503868,0.38130346668152665
ROSMAP from_non_ad,NN,8yrs,1074,5,[0.59781931],0.553253053720159,0.20852685241385044,0.6000746423095091,0.5877637978958627,0.2959331123840927
ROSMAP from_non_ad,XGBoost,8yrs,1074,5,[0.59781931],0.553253053720159,0.20852685241385044,0.6000746423095091,0.5877637978958627,0.2959331123840927
ROSMAP from_cn,NN,8yrs,730,2,[0.55616438],0.057534246575342465,0.1,0.5305507965518775,0.517880473514649,0.07304347826086956
ROSMAP from_cn,XGBoost,8yrs,730,2,[0.55616438],0.057534246575342465,0.1,0.5305507965518775,0.517880473514649,0.07304347826086956
ROSMAP from_mci,NN,8yrs,696,15,[0.62200828],0.5346251393534002,0.39541295306001184,0.5711118569308798,0.5658379405191104,0.40225345150339614
ROSMAP from_mci,XGBoost,8yrs,696,15,[0.62200828],0.5346251393534002,0.39541295306001184,0.5711118569308798,0.5658379405191104,0.40225345150339614
ROSMAP,NN,8yrs,1074,9,[0.61915888],0.43025603309769433,0.43451094385744843,0.5569683988289466,0.5478315596553169,0.40803438320738594
ROSMAP,XGBoost,8yrs,1074,9,0.6582035306334373,0.6763999639940217,0.6158249128817316,0.7253153427712343,0.7181692954331229,0.6563583147044534
ROSMAP,SVM,8yrs,1074,9,0.6526220145379023,0.6566635996616756,0.6557661864840589,0.7453815417506672,0.7290314520656412,0.6512868203344493
ROSMAP,RF,8yrs,1074,9,0.6610418830044998,0.6785554179184108,0.6235064348415122,0.7109959472775429,0.7096967892482688,0.6595455595839863
ROSMAP,NN,8yrs,1074,10,[0.59221184],0.391819979043898,0.3351196423526813,0.5241863801544365,0.5514921459645538,0.3227887927913375
ROSMAP,XGBoost,8yrs,1074,10,0.6498442367601246,0.6560825793810429,0.6405490604023749,0.7026583010098254,0.7016484142126317,0.6492020822825504
ROSMAP,SVM,8yrs,1074,10,0.6535565939771547,0.65541334493391,0.6568808847174012,0.7442150153132877,0.7270051537454314,0.6518496994251068
ROSMAP,RF,8yrs,1074,10,0.6582035306334372,0.675159949477246,0.6212140679427222,0.7235711385019088,0.7157753383067518,0.6567164678686535
ROSMAP from_non_ad,NN,8yrs,1074,5,[0.59965386],0.5926256613756614,0.22268341190024868,0.6005030409635974,0.5839223477234579,0.31705878369558815
ROSMAP from_non_ad,XGBoost,8yrs,1074,5,[0.59965386],0.5926256613756614,0.22268341190024868,0.6005030409635974,0.5839223477234579,0.31705878369558815
ROSMAP from_mci,NN,8yrs,696,15,[0.62200828],0.5346251393534002,0.39541295306001184,0.5711118569308798,0.5658379405191104,0.40225345150339614
ROSMAP from_mci,XGBoost,8yrs,696,15,[0.62200828],0.5346251393534002,0.39541295306001184,0.5711118569308798,0.5658379405191104,0.40225345150339614
ROSMAP from_cn,NN,8yrs,730,7,[0.60958904],0.4291786626049673,0.4163286457763638,0.52200052178179,0.5085353256520738,0.38605498735158883
ROSMAP from_cn,XGBoost,8yrs,730,7,[0.60958904],0.4291786626049673,0.4163286457763638,0.52200052178179,0.5085353256520738,0.38605498735158883
ROSMAP from_cn,NN,8yrs,730,12,[0.64109589],0.630293990227613,0.4912749695237461,0.5592933456333198,0.5600793027573212,0.4777278174033782
ROSMAP from_cn,XGBoost,8yrs,730,12,[0.64109589],0.630293990227613,0.4912749695237461,0.5592933456333198,0.5600793027573212,0.4777278174033782
ROSMAP from_mci,NN,8yrs,696,36,[0.63221532],0.48309178743961356,0.4495718742042271,0.5374172215730513,0.5159844656828707,0.40235745801758294
ROSMAP from_mci,XGBoost,8yrs,696,36,[0.63221532],0.48309178743961356,0.4495718742042271,0.5374172215730513,0.5159844656828707,0.40235745801758294
ROSMAP from_non_ad,NN,8yrs,1074,16,[0.58381793],0.5094909477492344,0.3131155486036933,0.5462091453449339,0.5374167938062784,0.3564216229729168
ROSMAP from_non_ad,XGBoost,8yrs,1074,16,[0.58381793],0.5094909477492344,0.3131155486036933,0.5462091453449339,0.5374167938062784,0.3564216229729168
ROSMAP,NN,8yrs,1074,41,[0.5977847],0.5043210791597887,0.3199928496060844,0.5546622817143871,0.5447956263000038,0.3867656817424568
ROSMAP,XGBoost,8yrs,1074,41,0.5791017653167184,0.5874873740728025,0.5614961676324325,0.6200498594274745,0.6261729008371566,0.5781896398031671
ROSMAP,SVM,8yrs,1074,41,0.6329871928002768,0.6330084978209972,0.6483857610909015,0.7051878178967509,0.6941826008432047,0.6315892183047702
ROSMAP,RF,8yrs,1074,41,0.6414676358601591,0.6579229382144453,0.5901970971896846,0.6713050349389535,0.6849076702696912,0.639102353348387
ROSMAP from_cn,NN,8yrs,730,7,[0.60958904],0.4291786626049673,0.4163286457763638,0.52200052178179,0.5085353256520738,0.38605498735158883
ROSMAP from_cn,XGBoost,8yrs,730,7,[0.60958904],0.4291786626049673,0.4163286457763638,0.52200052178179,0.5085353256520738,0.38605498735158883
ROSMAP_APOE,NN,8yrs,1074,10,[0.6033316],0.5335788699428062,0.3826500458339364,0.5797462165487876,0.5768872939652169,0.38871184185564284
ROSMAP_APOE,SVM,8yrs,1074,10,0.5604967116649359,0.6087157521791667,0.3621551716237258,0.6189165300748376,0.610509576170128,0.5386261307821557
ROSMAP_APOE,RF,8yrs,1074,10,0.5576670128071998,0.5634967584461525,0.5264403051261263,0.5818823881695492,0.5738713222159738,0.5549685667361102
ROSMAP_APOE,XGBoost,8yrs,1074,10,0.5753807545863621,0.5848018021579631,0.5389784310286958,0.604477632011943,0.597882092268734,0.5728500666486609
ROSMAP,NN,2yrs,1310,56,[0.57022901],0.1582810796074155,0.28714285714285714,0.5269747281665279,0.5261862428654096,0.20368978446863134
ROSMAP,XGBoost,2yrs,1310,56,0.5236641221374045,0.5245518689278728,0.5278332912607107,0.5527464295718254,0.5496282122226345,0.5210188267885515
ROSMAP,NN,8yrs,1074,56,[0.5706819],0.05555555555555556,0.1,0.5171731302598724,0.5045090335802722,0.07142857142857142
ROSMAP,XGBoost,8yrs,1074,56,0.5706040152301834,0.5756328192855708,0.5759895354883973,0.6320102775118329,0.6132364592886858,0.5693202308045836
ROSMAP,NN,8yrs,1074,9,[0.58753894],0.542190739900698,0.3392109190225363,0.5794528056868959,0.5835014227203328,0.3855565710681713
ROSMAP,XGBoost,8yrs,1074,9,0.6582035306334373,0.6763999639940217,0.6158249128817316,0.7253153427712343,0.7181692954331229,0.6563583147044534
ROSMAP,NN,8yrs,1074,9,[0.61078228],0.4196777047983945,0.27936349121438686,0.558490448284413,0.5523800803210804,0.3076218462593168
ROSMAP,XGBoost,8yrs,1074,9,0.6582035306334373,0.6763999639940217,0.6158249128817316,0.7253153427712343,0.7181692954331229,0.6563583147044534
ROSMAP,XGBoost,8yrs,1074,9,0.6582035306334373,0.6763999639940217,0.6158249128817316,0.7253153427712343,0.7181692954331229,0.6563583147044534
ROSMAP,XGBoost,8yrs,1074,9,0.6582035306334373,0.6763999639940217,0.6158249128817316,0.7253153427712343,0.7181692954331229,0.6563583147044534
ROSMAP,XGBoost,8yrs,1074,9,0.6582035306334373,0.6763999639940217,0.6158249128817316,0.7253153427712343,0.7181692954331229,0.6563583147044534
ROSMAP,NN,8yrs,1074,9,[0.61078228],0.4196777047983945,0.27936349121438686,0.558490448284413,0.5523800803210804,0.3076218462593168
ROSMAP,XGBoost,8yrs,1074,9,0.6582035306334373,0.6763999639940217,0.6158249128817316,0.7253153427712343,0.7181692954331229,0.6563583147044534
ROSMAP,SVM,8yrs,1074,9,0.6526220145379023,0.6566635996616756,0.6557661864840589,0.7453815417506672,0.7290314520656412,0.6512868203344493
ROSMAP_APOE,NN,8yrs,1074,10,[0.6033316],0.5335788699428062,0.3826500458339364,0.5797462165487876,0.5768872939652169,0.38871184185564284
ROSMAP_APOE,XGBoost,8yrs,1074,10,0.5753807545863621,0.5848018021579631,0.5389784310286958,0.604477632011943,0.597882092268734,0.5728500666486609
ROSMAP_APOE,SVM,8yrs,1074,10,0.5604967116649359,0.6087157521791667,0.3621551716237258,0.6189165300748376,0.610509576170128,0.5386261307821557
ROSMAP_APOE,RF,8yrs,1074,10,0.5576670128071998,0.5634967584461525,0.5264403051261263,0.5818823881695492,0.5738713222159738,0.5549685667361102
ROSMAP,NN,8yrs,1074,9,[0.61451194],0.41525769552085345,0.3644223711041495,0.5409185500408495,0.5336280547332968,0.350373686906191
ROSMAP,XGBoost,8yrs,1074,9,0.6582035306334373,0.6763999639940217,0.6158249128817316,0.7253153427712343,0.7181692954331229,0.6563583147044534
ROSMAP,SVM,8yrs,1074,9,0.6526220145379023,0.6566635996616756,0.6557661864840589,0.7453815417506672,0.7290314520656412,0.6512868203344493
ROSMAP,RF,8yrs,1074,9,0.6610418830044998,0.6785554179184108,0.6235064348415122,0.7109959472775429,0.7096967892482688,0.6595455595839863
ROSMAP,NN,nores,1310,56,[0.56717557],0.15616054389312978,0.2957142857142857,0.5159584127741668,0.5089849605766157,0.20433358511243202
ROSMAP,XGBoost,nores,1310,56,0.5381679389312979,0.5444985617049264,0.536599351589271,0.5695942751372016,0.5635686399159454,0.535404453618587
