FID IID C1 C2 C3 C4 C5 C6 C7 C8 C9 C10
1 014_S_0520 -0.00198376 -0.00974565 0.00767907 0.0018847 -0.00426546 0.00828773 -0.0122062 0.00351052 -0.00257874 0.00813127
2 005_S_1341 -0.0108138 0.0114491 -0.000516555 -0.00650939 -0.00438432 0.00767821 0.0102309 -0.00113163 0.000638361 0.0200284
4 012_S_0803 0.0163506 -0.00157577 -0.000108592 -0.00628342 0.00840554 0.00672361 0.00794533 0.00439956 -0.00889232 -0.00394473
5 018_S_0055 0.0130371 -0.00324558 0.00276757 0.0143986 -0.00615283 -0.000433487 0.00142183 0.000123655 0.0202745 0.00471353
6 027_S_0118 -0.0123356 -0.00142673 -0.00893584 0.027085 0.00182325 -0.00959516 -0.00291977 -0.00634588 0.00096606 0.00586662
8 053_S_0389 0.000736868 -0.00870894 -0.00850635 -0.00854541 0.0131377 -0.001532 -0.00577229 0.00324281 0.0028815 0.00198335
9 041_S_0262 0.00302552 -0.00526317 -0.00802464 0.0316232 0.0275916 0.0257083 -0.000736937 0.00778418 0.000676237 0.00654278
10 005_S_1224 0.0108945 -0.00406476 -0.00627591 -0.0135646 -0.0115405 0.00423712 -0.0026946 0.00560473 0.013863 -0.0120767
17 137_S_0825 -0.00323438 0.0132321 0.000333203 -0.0107535 0.00401861 -0.00259194 0.0237297 -0.00624146 -0.00829376 0.0165993
18 128_S_0266 0.000524557 0.0187137 0.0030153 -0.00924083 0.00756748 0.00622931 0.00926932 0.00308751 -0.0189396 -0.0104196
19 067_S_0243 0.00589895 -0.00371284 0.000136165 0.0015076 -0.0137032 -0.000153699 -0.00163023 0.00648832 -0.00280184 0.00635721
23 033_S_1116 0.00102462 0.00827491 0.00123044 -0.00738823 0.00327881 -0.018618 0.0180405 0.000892422 0.00546503 -0.000824175
24 007_S_0070 -0.0104664 -0.0112988 -0.0154736 0.00533477 -0.00505253 0.00385755 -0.00218186 0.000997575 0.0107566 -0.010792
25 133_S_1170 0.0153785 -2.7058e-05 0.00911413 0.0134514 0.0190308 0.00896331 -0.011281 0.0117591 0.0188274 0.0107066
26 128_S_0522 -0.0215714 0.00366274 0.024906 -0.0120479 -0.00489731 -0.000743263 0.00430489 0.00539 0.0114974 -0.00250612
27 141_S_1245 -0.00692514 0.0142579 0.00488591 -0.00929218 0.00493835 0.0141704 0.0150111 -0.0114036 0.00465876 0.00730964
