Quantile	Coef	CI.U	CI.L	Group	N
1	1.29519444186015	2.44975441363762	0.140634470082668	0	159
2	1.09870741255766	2.20265715656844	-0.0052423314531187	0	158
3	0.688848929011178	1.66718603470395	-0.289488176681591	0	158
4	-0.140390451562452	0.73991580220716	-1.02069670533206	0	158
5	0	0	0	0	158
6	0.413970799292856	1.28723975681073	-0.459298158225014	0	158
7	1.11674387821832	1.9924105501334	0.241077206303241	0	158
8	1.35456912455904	2.24012756472316	0.46901068439493	0	158
9	1.89507493369914	2.78626567909496	1.00388418830332	0	158
10	1.53660985356229	2.46503172015839	0.608187986966185	0	159
